name,g,ab,r,hr,rbi,sb,avg,obp,r_score,r_trend,hr_score,hr_trend,rbi_score,rbi_trend,sb_score,sb_trend,avg_score,avg_trend,obp_score,obp_trend,total_score,total_trend
Joe Mauer,366,1351,91.623,9.738,84.098,3.984,0.315,0.399,0.901,-0.336,-0.842,-0.024,0.548,0.111,-0.620,0.271,2.080,-0.222,2.284,0.269,4.352,0.069
Nelson Cruz,391,1459,87.008,31.074,105.652,14.087,0.277,0.332,0.645,-0.029,1.426,-0.478,1.538,-0.546,0.225,-0.720,0.464,-1.004,-0.061,-0.721,4.237,-3.498
Mark Teixeira,437,1641,99.721,35.588,112.325,2.224,0.252,0.347,1.349,-0.689,1.906,-0.187,1.845,-0.022,-0.767,0.072,-0.597,-0.023,0.477,-0.404,4.213,-1.253
Paul Goldschmidt,193,670,92.332,23.503,90.653,18.466,0.278,0.353,0.940,0.000,0.621,0.000,0.849,0.000,0.591,0.000,0.494,0.000,0.688,0.000,4.183,0.000
Aramis Ramirez,422,1600,89.445,29.943,107.872,3.839,0.285,0.341,0.780,0.548,1.306,-0.235,1.640,0.101,-0.632,0.357,0.805,1.046,0.269,1.079,4.168,2.896
Bryce Harper,139,533,114.216,25.640,68.763,20.978,0.270,0.340,2.153,0.000,0.848,0.000,-0.157,0.000,0.801,0.000,0.181,0.000,0.220,0.000,4.046,0.000
Kevin Youkilis,344,1231,102.192,25.901,95.128,3.297,0.264,0.372,1.486,-0.625,0.876,-0.306,1.055,-0.389,-0.677,-0.285,-0.078,-1.186,1.330,-1.040,3.991,-3.831
Allen Craig,238,783,82.361,25.185,102.101,4.765,0.300,0.348,0.387,0.000,0.800,0.000,1.375,0.000,-0.555,0.000,1.441,0.000,0.503,0.000,3.952,0.000
Josh Willingham,395,1377,85.306,32.810,108.273,6.152,0.257,0.361,0.551,0.491,1.610,0.695,1.659,0.907,-0.439,-0.350,-0.370,-0.077,0.940,-0.261,3.951,1.404
Will Middlebrooks,75,267,73.440,32.400,116.640,8.640,0.288,0.325,-0.107,0.000,1.567,0.000,2.043,0.000,-0.231,0.000,0.947,0.000,-0.303,0.000,3.917,0.000
Coco Crisp,331,1276,92.012,13.215,67.541,58.731,0.266,0.324,0.922,-0.422,-0.472,-0.166,-0.213,-0.392,3.957,-0.679,-0.008,-0.303,-0.333,-0.158,3.852,-2.120
Edwin Encarnacion,381,1355,89.291,34.016,91.843,9.354,0.269,0.348,0.771,0.551,1.739,0.359,0.904,0.666,-0.171,0.455,0.116,0.677,0.492,1.252,3.852,3.961
